date,open,high,low,close
1996-04-30,0.7875,0.7875,0.7875,0.7875
1996-05-31,0.7987,0.7987,0.7987,0.7987
1996-06-30,0.7881,0.7881,0.7881,0.7881
1996-07-31,0.7727,0.7727,0.7727,0.7727
1996-08-31,0.7896,0.7896,0.7896,0.7896
1996-09-30,0.7914,0.7914,0.7914,0.7914
1996-10-31,0.7917,0.7917,0.7917,0.7917
1996-11-30,0.8161,0.8161,0.8161,0.8161
1996-12-31,0.7942,0.7942,0.7942,0.7942
1997-01-31,0.7624,0.7624,0.7624,0.7624
1997-02-28,0.7785,0.7785,0.7785,0.7785
1997-03-31,0.7857,0.7857,0.7857,0.7857
1997-04-30,0.7806,0.7806,0.7806,0.7806
1997-05-31,0.7602,0.7602,0.7602,0.7602
1997-06-30,0.754,0.754,0.754,0.754
1997-07-31,0.7478,0.7478,0.7478,0.7478
1997-08-31,0.7323,0.7323,0.7323,0.7323
1997-09-30,0.7251,0.7251,0.7251,0.7251
1997-10-31,0.7012,0.7012,0.7012,0.7012
1997-11-30,0.6813,0.6813,0.6813,0.6813
1997-12-31,0.6504,0.6504,0.6504,0.6504
1998-01-31,0.6833,0.6833,0.6833,0.6833
1998-02-28,0.68,0.68,0.68,0.68
1998-03-31,0.6624,0.6624,0.6624,0.6624
1998-04-30,0.6493,0.6493,0.6493,0.6493
1998-05-31,0.623,0.623,0.623,0.623
1998-06-30,0.6208,0.6208,0.6208,0.6208
1998-07-31,0.6056,0.6056,0.6056,0.6056
1998-08-31,0.5678,0.5678,0.5678,0.5678
1998-09-30,0.5935,0.5935,0.5935,0.5935
1998-10-31,0.625,0.625,0.625,0.625
1998-11-30,0.6289,0.6289,0.6289,0.6289
1998-12-31,0.6103,0.6103,0.6103,0.6103
1999-01-31,0.6303,0.6303,0.6303,0.6303
1999-02-28,0.6188,0.6188,0.6188,0.6188
1999-03-31,0.6343,0.6343,0.6343,0.6343
1999-04-30,0.6613,0.6613,0.6613,0.6613
1999-05-31,0.6489,0.6489,0.6489,0.6489
1999-06-30,0.6674,0.6674,0.6674,0.6674
1999-07-31,0.6522,0.6522,0.6522,0.6522
1999-08-31,0.6407,0.6407,0.6407,0.6407
1999-09-30,0.652,0.652,0.652,0.652
1999-10-31,0.639,0.639,0.639,0.639
1999-11-30,0.6356,0.6356,0.6356,0.6356
1999-12-31,0.6567,0.6567,0.6567,0.6567
2000-01-31,0.637,0.637,0.637,0.637
2000-02-29,0.6178,0.6178,0.6178,0.6178
2000-03-31,0.6071,0.6071,0.6071,0.6071
2000-04-30,0.5839,0.5839,0.5839,0.5839
2000-05-31,0.5725,0.5725,0.5725,0.5725
2000-06-30,0.5974,0.5974,0.5974,0.5974
2000-07-31,0.5808,0.5808,0.5808,0.5808
2000-08-31,0.5764,0.5764,0.5764,0.5764
2000-09-30,0.5428,0.5428,0.5428,0.5428
2000-10-31,0.5185,0.5185,0.5185,0.5185
2000-11-30,0.5278,0.5278,0.5278,0.5278
2000-12-31,0.5588,0.5588,0.5588,0.5588
2001-01-31,0.5506,0.5506,0.5506,0.5506
2001-02-28,0.5263,0.5263,0.5263,0.5263
2001-03-31,0.4856,0.4856,0.4856,0.4856
2001-04-30,0.5124,0.5124,0.5124,0.5124
2001-05-31,0.5065,0.5065,0.5065,0.5065
2001-06-30,0.5119,0.5119,0.5119,0.5119
2001-07-31,0.51,0.51,0.51,0.51
2001-08-31,0.5296,0.5296,0.5296,0.5296
2001-09-30,0.4913,0.4913,0.4913,0.4913
2001-10-31,0.5031,0.5031,0.5031,0.5031
2001-11-30,0.5219,0.5219,0.5219,0.5219
2001-12-31,0.5095,0.5095,0.5095,0.5095
2002-01-31,0.5077,0.5077,0.5077,0.5077
2002-02-28,0.5181,0.5181,0.5181,0.5181
2002-03-31,0.5328,0.5328,0.5328,0.5328
2002-04-30,0.5383,0.5383,0.5383,0.5383
2002-05-31,0.5674,0.5674,0.5674,0.5674
2002-06-30,0.5634,0.5634,0.5634,0.5634
2002-07-31,0.5426,0.5426,0.5426,0.5426
2002-08-31,0.5505,0.5505,0.5505,0.5505
2002-09-30,0.5426,0.5426,0.5426,0.5426
2002-10-31,0.5547,0.5547,0.5547,0.5547
2002-11-30,0.561,0.561,0.561,0.561
2002-12-31,0.5616,0.5616,0.5616,0.5616
2003-01-31,0.5871,0.5871,0.5871,0.5871
2003-02-28,0.6085,0.6085,0.6085,0.6085
2003-03-31,0.6045,0.6045,0.6045,0.6045
2003-04-30,0.6267,0.6267,0.6267,0.6267
2003-05-31,0.6528,0.6528,0.6528,0.6528
2003-06-30,0.6736,0.6736,0.6736,0.6736
2003-07-31,0.6488,0.6488,0.6488,0.6488
2003-08-31,0.6475,0.6475,0.6475,0.6475
2003-09-30,0.6801,0.6801,0.6801,0.6801
2003-10-31,0.7086,0.7086,0.7086,0.7086
2003-11-30,0.7243,0.7243,0.7243,0.7243
2003-12-31,0.752,0.752,0.752,0.752
2004-01-31,0.7642,0.7642,0.7642,0.7642
2004-02-29,0.7738,0.7738,0.7738,0.7738
2004-03-31,0.7668,0.7668,0.7668,0.7668
2004-04-30,0.7207,0.7207,0.7207,0.7207
2004-05-31,0.7152,0.7152,0.7152,0.7152
2004-06-30,0.6993,0.6993,0.6993,0.6993
2004-07-31,0.7027,0.7027,0.7027,0.7027
2004-08-31,0.7042,0.7042,0.7042,0.7042
2004-09-30,0.7277,0.7277,0.7277,0.7277
2004-10-31,0.7484,0.7484,0.7484,0.7484
2004-11-30,0.7729,0.7729,0.7729,0.7729
2004-12-31,0.7803,0.7803,0.7803,0.7803
2005-01-31,0.7757,0.7757,0.7757,0.7757
2005-02-28,0.7918,0.7918,0.7918,0.7918
2005-03-31,0.773,0.773,0.773,0.773
2005-04-30,0.7813,0.7813,0.7813,0.7813
2005-05-31,0.7559,0.7559,0.7559,0.7559
2005-06-30,0.7625,0.7625,0.7625,0.7625
2005-07-31,0.7566,0.7566,0.7566,0.7566
2005-08-31,0.7553,0.7553,0.7553,0.7553
2005-09-30,0.762,0.762,0.762,0.762
2005-10-31,0.7482,0.7482,0.7482,0.7482
2005-11-30,0.738,0.738,0.738,0.738
2005-12-31,0.7328,0.7328,0.7328,0.7328
2006-01-31,0.7582,0.7582,0.7582,0.7582
2006-02-28,0.7423,0.7423,0.7423,0.7423
2006-03-31,0.7165,0.7165,0.7165,0.7165
2006-04-30,0.7596,0.7596,0.7596,0.7596
2006-05-31,0.7522,0.7522,0.7522,0.7522
2006-06-30,0.7421,0.7421,0.7421,0.7421
2006-07-31,0.7665,0.7665,0.7665,0.7665
2006-08-31,0.7638,0.7638,0.7638,0.7638
2006-09-30,0.7461,0.7461,0.7461,0.7461
2006-10-31,0.7738,0.7738,0.7738,0.7738
2006-11-30,0.7889,0.7889,0.7889,0.7889
2006-12-31,0.7885,0.7885,0.7885,0.7885
2007-01-31,0.7769,0.7769,0.7769,0.7769
2007-02-28,0.7879,0.7879,0.7879,0.7879
2007-03-31,0.8086,0.8086,0.8086,0.8086
2007-04-30,0.8301,0.8301,0.8301,0.8301
2007-05-31,0.8279,0.8279,0.8279,0.8279
2007-06-30,0.8494,0.8494,0.8494,0.8494
2007-07-31,0.8517,0.8517,0.8517,0.8517
2007-08-31,0.8186,0.8186,0.8186,0.8186
2007-09-30,0.8879,0.8879,0.8879,0.8879
2007-10-31,0.9341,0.9341,0.9341,0.9341
2007-11-30,0.8844,0.8844,0.8844,0.8844
2007-12-31,0.8751,0.8751,0.8751,0.8751
2008-01-31,0.8956,0.8956,0.8956,0.8956
2008-02-29,0.9309,0.9309,0.9309,0.9309
2008-03-31,0.9131,0.9131,0.9131,0.9131
2008-04-30,0.9437,0.9437,0.9437,0.9437
2008-05-31,0.956,0.956,0.956,0.956
2008-06-30,0.9586,0.9586,0.9586,0.9586
2008-07-31,0.9423,0.9423,0.9423,0.9423
2008-08-31,0.8578,0.8578,0.8578,0.8578
2008-09-30,0.7924,0.7924,0.7924,0.7924
2008-10-31,0.6678,0.6678,0.6678,0.6678
2008-11-30,0.6553,0.6553,0.6553,0.6553
2008-12-31,0.7027,0.7027,0.7027,0.7027
2009-01-31,0.6375,0.6375,0.6375,0.6375
2009-02-28,0.639,0.639,0.639,0.639
2009-03-31,0.6913,0.6913,0.6913,0.6913
2009-04-30,0.7256,0.7256,0.7256,0.7256
2009-05-31,0.8011,0.8011,0.8011,0.8011
2009-06-30,0.8064,0.8064,0.8064,0.8064
2009-07-31,0.8359,0.8359,0.8359,0.8359
2009-08-31,0.8439,0.8439,0.8439,0.8439
2009-09-30,0.8828,0.8828,0.8828,0.8828
2009-10-31,0.8997,0.8997,0.8997,0.8997
2009-11-30,0.916,0.916,0.916,0.916
2009-12-31,0.8977,0.8977,0.8977,0.8977
2010-01-31,0.8838,0.8838,0.8838,0.8838
2010-02-28,0.8954,0.8954,0.8954,0.8954
2010-03-31,0.9172,0.9172,0.9172,0.9172
2010-04-30,0.9243,0.9243,0.9243,0.9243
2010-05-31,0.8459,0.8459,0.8459,0.8459
2010-06-30,0.8408,0.8408,0.8408,0.8408
2010-07-31,0.9042,0.9042,0.9042,0.9042
2010-08-31,0.8906,0.8906,0.8906,0.8906
2010-09-30,0.9671,0.9671,0.9671,0.9671
2010-10-31,0.9835,0.9835,0.9835,0.9835
2010-11-30,0.9588,0.9588,0.9588,0.9588
2010-12-31,1.0233,1.0233,1.0233,1.0233
2011-01-31,0.9974,0.9974,0.9974,0.9974
2011-02-28,1.0186,1.0186,1.0186,1.0186
2011-03-31,1.0329,1.0329,1.0329,1.0329
2011-04-30,1.0971,1.0971,1.0971,1.0971
2011-05-31,1.0672,1.0672,1.0672,1.0672
2011-06-30,1.0722,1.0722,1.0722,1.0722
2011-07-31,1.0993,1.0993,1.0993,1.0993
2011-08-31,1.0707,1.0707,1.0707,1.0707
2011-09-30,0.9662,0.9662,0.9662,0.9662
2011-10-31,1.053,1.053,1.053,1.053
2011-11-30,1.0283,1.0283,1.0283,1.0283
2011-12-31,1.0209,1.0209,1.0209,1.0209
2012-01-31,1.0621,1.0621,1.0621,1.0621
2012-02-29,1.0732,1.0732,1.0732,1.0732
2012-03-31,1.0346,1.0346,1.0346,1.0346
2012-04-30,1.0429,1.0429,1.0429,1.0429
2012-05-31,0.9734,0.9734,0.9734,0.9734
2012-06-30,1.0238,1.0238,1.0238,1.0238
2012-07-31,1.0503,1.0503,1.0503,1.0503
2012-08-31,1.0322,1.0322,1.0322,1.0322
2012-09-30,1.0378,1.0378,1.0378,1.0378
2012-10-31,1.0376,1.0376,1.0376,1.0376
2012-11-30,1.0428,1.0428,1.0428,1.0428
2012-12-31,1.0394,1.0394,1.0394,1.0394
2013-01-31,1.0425,1.0425,1.0425,1.0425
2013-02-28,1.0215,1.0215,1.0215,1.0215
2013-03-31,1.0419,1.0419,1.0419,1.0419
2013-04-30,1.0371,1.0371,1.0371,1.0371
2013-05-31,0.9571,0.9571,0.9571,0.9571
2013-06-30,0.9138,0.9138,0.9138,0.9138
2013-07-31,0.8982,0.8982,0.8982,0.8982
2013-08-31,0.8901,0.8901,0.8901,0.8901
2013-09-30,0.9317,0.9317,0.9317,0.9317
2013-10-31,0.9456,0.9456,0.9456,0.9456
2013-11-30,0.9108,0.9108,0.9108,0.9108
2013-12-31,0.8917,0.8917,0.8917,0.8917
2014-01-31,0.8756,0.8756,0.8756,0.8756
2014-02-28,0.8924,0.8924,0.8924,0.8924
2014-03-31,0.9264,0.9264,0.9264,0.9264
2014-04-30,0.9287,0.9287,0.9287,0.9287
2014-05-31,0.931,0.931,0.931,0.931
2014-06-30,0.9433,0.9433,0.9433,0.9433
2014-07-31,0.9295,0.9295,0.9295,0.9295
2014-08-31,0.9339,0.9339,0.9339,0.9339
2014-09-30,0.8747,0.8747,0.8747,0.8747
2014-10-31,0.8798,0.8798,0.8798,0.8798
2014-11-30,0.8506,0.8506,0.8506,0.8506
2014-12-31,0.8175,0.8175,0.8175,0.8175
2015-01-31,0.7762,0.7762,0.7762,0.7762
2015-02-28,0.7808,0.7808,0.7808,0.7808
2015-03-31,0.7607,0.7607,0.7607,0.7607
2015-04-30,0.7905,0.7905,0.7905,0.7905
2015-05-31,0.7645,0.7645,0.7645,0.7645
2015-06-30,0.7707,0.7707,0.7707,0.7707
2015-07-31,0.7308,0.7308,0.7308,0.7308
2015-08-31,0.7113,0.7113,0.7113,0.7113
2015-09-30,0.7018,0.7018,0.7018,0.7018
2015-10-31,0.7138,0.7138,0.7138,0.7138
2015-11-30,0.7227,0.7227,0.7227,0.7227
2015-12-31,0.7286,0.7286,0.7286,0.7286
2016-01-31,0.7084,0.7084,0.7084,0.7084
2016-02-29,0.7141,0.7141,0.7141,0.7141
2016-03-31,0.7657,0.7657,0.7657,0.7657
2016-04-30,0.7603,0.7603,0.7603,0.7603
2016-05-31,0.7234,0.7234,0.7234,0.7234
2016-06-30,0.7451,0.7451,0.7451,0.7451
2016-07-31,0.7596,0.7596,0.7596,0.7596
2016-08-31,0.7517,0.7517,0.7517,0.7517
2016-09-30,0.7664,0.7664,0.7664,0.7664
2016-10-31,0.7609,0.7609,0.7609,0.7609
2016-11-30,0.7385,0.7385,0.7385,0.7385
2016-12-31,0.7208,0.7208,0.7208,0.7208
2017-01-31,0.7585,0.7585,0.7585,0.7585
2017-02-28,0.7657,0.7657,0.7657,0.7657
2017-03-31,0.7629,0.7629,0.7629,0.7629
2017-04-30,0.7488,0.7488,0.7488,0.7488
2017-05-31,0.743,0.743,0.743,0.743
2017-06-30,0.7689,0.7689,0.7689,0.7689
2017-07-31,0.8003,0.8003,0.8003,0.8003
2017-08-31,0.7947,0.7947,0.7947,0.7947
2017-09-30,0.7834,0.7834,0.7834,0.7834
2017-10-31,0.7656,0.7656,0.7656,0.7656
2017-11-30,0.7566,0.7566,0.7566,0.7566
2017-12-31,0.7809,0.7809,0.7809,0.7809
2018-01-31,0.8055,0.8055,0.8055,0.8055
2018-02-28,0.7762,0.7762,0.7762,0.7762
2018-03-31,0.7679,0.7679,0.7679,0.7679
2018-04-30,0.753,0.753,0.753,0.753
2018-05-31,0.7568,0.7568,0.7568,0.7568
2018-06-30,0.7405,0.7405,0.7405,0.7405
2018-07-31,0.7424,0.7424,0.7424,0.7424
2018-08-31,0.7189,0.7189,0.7189,0.7189
2018-09-30,0.7224,0.7224,0.7224,0.7224
2018-10-31,0.7073,0.7073,0.7073,0.7073
2018-11-30,0.7306,0.7306,0.7306,0.7306
2018-12-31,0.7049,0.7049,0.7049,0.7049
2019-01-31,0.7273,0.7273,0.7273,0.7273
2019-02-28,0.7094,0.7094,0.7094,0.7094
2019-03-31,0.7096,0.7096,0.7096,0.7096
2019-04-30,0.7048,0.7048,0.7048,0.7048
2019-05-31,0.6938,0.6938,0.6938,0.6938
2019-06-30,0.702,0.702,0.702,0.702
2019-07-31,0.6845,0.6845,0.6845,0.6845
2019-08-31,0.6733,0.6733,0.6733,0.6733
2019-09-30,0.675,0.675,0.675,0.675
2019-10-31,0.6894,0.6894,0.6894,0.6894
2019-11-30,0.6763,0.6763,0.6763,0.6763
2019-12-31,0.7021,0.7021,0.7021,0.7021
2020-01-31,0.6692,0.6692,0.6692,0.6692
2020-02-29,0.6515,0.6515,0.6515,0.6515
2020-03-31,0.6131,0.6131,0.6131,0.6131
2020-04-30,0.6512,0.6512,0.6512,0.6512
2020-05-31,0.6667,0.6667,0.6667,0.6667
2020-06-30,0.6903,0.6903,0.6903,0.6903
2020-07-31,0.7143,0.7143,0.7143,0.7143
2020-08-31,0.7376,0.7376,0.7376,0.7376
2020-09-30,0.7162,0.7162,0.7162,0.7162
2020-10-31,0.7028,0.7028,0.7028,0.7028
2020-11-30,0.7344,0.7344,0.7344,0.7344
2020-12-31,0.7694,0.7694,0.7694,0.7694
2021-01-31,0.7644,0.7644,0.7644,0.7644
2021-02-28,0.7706,0.7706,0.7706,0.7706
2021-03-31,0.7598,0.7598,0.7598,0.7598
2021-04-30,0.7716,0.7716,0.7716,0.7716
2021-05-31,0.7734,0.7734,0.7734,0.7734
2021-06-30,0.7498,0.7498,0.7498,0.7498
2021-07-31,0.7344,0.7344,0.7344,0.7344
2021-08-31,0.7316,0.7316,0.7316,0.7316
2021-09-30,0.7227,0.7227,0.7227,0.7227
2021-10-31,0.7518,0.7518,0.7518,0.7518
2021-11-30,0.7127,0.7127,0.7127,0.7127
2021-12-31,0.7263,0.7263,0.7263,0.7263
2022-01-31,0.7067,0.7067,0.7067,0.7067
2022-02-28,0.7263,0.7263,0.7263,0.7263
2022-03-31,0.7482,0.7482,0.7482,0.7482
2022-04-30,0.7061,0.7061,0.7061,0.7061
2022-05-31,0.7177,0.7177,0.7177,0.7177
2022-06-30,0.6903,0.6903,0.6903,0.6903
2022-07-31,0.6985,0.6985,0.6985,0.6985
2022-08-31,0.6842,0.6842,0.6842,0.6842
2022-09-30,0.64,0.64,0.64,0.64
2022-10-31,0.6399,0.6399,0.6399,0.6399
2022-11-30,0.6788,0.6788,0.6788,0.6788
2022-12-31,0.6813,0.6813,0.6813,0.6813
2023-01-31,0.7055,0.7055,0.7055,0.7055
2023-02-28,0.6729,0.6729,0.6729,0.6729
