date,open,high,low,close
1996-04-30,1.2684,1.2684,1.2684,1.2684
1996-05-31,1.2755,1.2755,1.2755,1.2755
1996-06-30,1.2809,1.2809,1.2809,1.2809
1996-07-31,1.316,1.316,1.316,1.316
1996-08-31,1.3129,1.3129,1.3129,1.3129
1996-09-30,1.2804,1.2804,1.2804,1.2804
1996-10-31,1.2907,1.2907,1.2907,1.2907
1996-11-30,1.2721,1.2721,1.2721,1.2721
1996-12-31,1.2716,1.2716,1.2716,1.2716
1997-01-31,1.1966,1.1966,1.1966,1.1966
1997-02-28,1.1573,1.1573,1.1573,1.1573
1997-03-31,1.1654,1.1654,1.1654,1.1654
1997-04-30,1.1303,1.1303,1.1303,1.1303
1997-05-31,1.1465,1.1465,1.1465,1.1465
1997-06-30,1.1255,1.1255,1.1255,1.1255
1997-07-31,1.0679,1.0679,1.0679,1.0679
1997-08-31,1.0887,1.0887,1.0887,1.0887
1997-09-30,1.1106,1.1106,1.1106,1.1106
1997-10-31,1.1388,1.1388,1.1388,1.1388
1997-11-30,1.1124,1.1124,1.1124,1.1124
1997-12-31,1.0909,1.0909,1.0909,1.0909
1998-01-31,1.0708,1.0708,1.0708,1.0708
1998-02-28,1.0784,1.0784,1.0784,1.0784
1998-03-31,1.0589,1.0589,1.0589,1.0589
1998-04-30,1.0906,1.0906,1.0906,1.0906
1998-05-31,1.0982,1.0982,1.0982,1.0982
1998-06-30,1.0851,1.0851,1.0851,1.0851
1998-07-31,1.1004,1.1004,1.1004,1.1004
1998-08-31,1.1021,1.1021,1.1021,1.1021
1998-09-30,1.1706,1.1706,1.1706,1.1706
1998-10-31,1.1812,1.1812,1.1812,1.1812
1998-11-30,1.1565,1.1565,1.1565,1.1565
1998-12-31,1.1736,1.1736,1.1736,1.1736
1999-01-31,1.1362,1.1362,1.1362,1.1362
1999-02-28,1.1029,1.1029,1.1029,1.1029
1999-03-31,1.0762,1.0762,1.0762,1.0762
1999-04-30,1.057,1.057,1.057,1.057
1999-05-31,1.042,1.042,1.042,1.042
1999-06-30,1.0351,1.0351,1.0351,1.0351
1999-07-31,1.0712,1.0712,1.0712,1.0712
1999-08-31,1.0566,1.0566,1.0566,1.0566
1999-09-30,1.0684,1.0684,1.0684,1.0684
1999-10-31,1.0549,1.0549,1.0549,1.0549
1999-11-30,1.0093,1.0093,1.0093,1.0093
1999-12-31,1.0062,1.0062,1.0062,1.0062
2000-01-31,0.9707,0.9707,0.9707,0.9707
2000-02-29,0.9642,0.9642,0.9642,0.9642
2000-03-31,0.9555,0.9555,0.9555,0.9555
2000-04-30,0.9119,0.9119,0.9119,0.9119
2000-05-31,0.938,0.938,0.938,0.938
2000-06-30,0.9525,0.9525,0.9525,0.9525
2000-07-31,0.9266,0.9266,0.9266,0.9266
2000-08-31,0.8878,0.8878,0.8878,0.8878
2000-09-30,0.8828,0.8828,0.8828,0.8828
2000-10-31,0.8489,0.8489,0.8489,0.8489
2000-11-30,0.8729,0.8729,0.8729,0.8729
2000-12-31,0.9427,0.9427,0.9427,0.9427
2001-01-31,0.9366,0.9366,0.9366,0.9366
2001-02-28,0.9236,0.9236,0.9236,0.9236
2001-03-31,0.8767,0.8767,0.8767,0.8767
2001-04-30,0.8891,0.8891,0.8891,0.8891
2001-05-31,0.8453,0.8453,0.8453,0.8453
2001-06-30,0.849,0.849,0.849,0.849
2001-07-31,0.8764,0.8764,0.8764,0.8764
2001-08-31,0.9123,0.9123,0.9123,0.9123
2001-09-30,0.9114,0.9114,0.9114,0.9114
2001-10-31,0.9005,0.9005,0.9005,0.9005
2001-11-30,0.8964,0.8964,0.8964,0.8964
2001-12-31,0.8895,0.8895,0.8895,0.8895
