date,open,high,low,close
1996-04-30,1.5065,1.5065,1.5065,1.5065
1996-05-31,1.5511,1.5511,1.5511,1.5511
1996-06-30,1.5527,1.5527,1.5527,1.5527
1996-07-31,1.5566,1.5566,1.5566,1.5566
1996-08-31,1.5647,1.5647,1.5647,1.5647
1996-09-30,1.5653,1.5653,1.5653,1.5653
1996-10-31,1.6271,1.6271,1.6271,1.6271
1996-11-30,1.6821,1.6821,1.6821,1.6821
1996-12-31,1.714,1.714,1.714,1.714
1997-01-31,1.6024,1.6024,1.6024,1.6024
1997-02-28,1.6286,1.6286,1.6286,1.6286
1997-03-31,1.6374,1.6374,1.6374,1.6374
1997-04-30,1.6236,1.6236,1.6236,1.6236
1997-05-31,1.6387,1.6387,1.6387,1.6387
1997-06-30,1.6656,1.6656,1.6656,1.6656
1997-07-31,1.6408,1.6408,1.6408,1.6408
1997-08-31,1.6153,1.6153,1.6153,1.6153
1997-09-30,1.6156,1.6156,1.6156,1.6156
1997-10-31,1.6727,1.6727,1.6727,1.6727
1997-11-30,1.689,1.689,1.689,1.689
1997-12-31,1.6452,1.6452,1.6452,1.6452
1998-01-31,1.632,1.632,1.632,1.632
1998-02-28,1.643,1.643,1.643,1.643
1998-03-31,1.6725,1.6725,1.6725,1.6725
1998-04-30,1.6711,1.6711,1.6711,1.6711
1998-05-31,1.631,1.631,1.631,1.631
1998-06-30,1.6679,1.6679,1.6679,1.6679
1998-07-31,1.6326,1.6326,1.6326,1.6326
1998-08-31,1.6798,1.6798,1.6798,1.6798
1998-09-30,1.6989,1.6989,1.6989,1.6989
1998-10-31,1.6755,1.6755,1.6755,1.6755
1998-11-30,1.6477,1.6477,1.6477,1.6477
1998-12-31,1.66,1.66,1.66,1.66
1999-01-31,1.6449,1.6449,1.6449,1.6449
1999-02-28,1.6025,1.6025,1.6025,1.6025
1999-03-31,1.6112,1.6112,1.6112,1.6112
1999-04-30,1.6095,1.6095,1.6095,1.6095
1999-05-31,1.6026,1.6026,1.6026,1.6026
1999-06-30,1.5778,1.5778,1.5778,1.5778
1999-07-31,1.6216,1.6216,1.6216,1.6216
1999-08-31,1.6038,1.6038,1.6038,1.6038
1999-09-30,1.6473,1.6473,1.6473,1.6473
1999-10-31,1.6448,1.6448,1.6448,1.6448
1999-11-30,1.5981,1.5981,1.5981,1.5981
1999-12-31,1.6182,1.6182,1.6182,1.6182
2000-01-31,1.6162,1.6162,1.6162,1.6162
2000-02-29,1.5792,1.5792,1.5792,1.5792
2000-03-31,1.5911,1.5911,1.5911,1.5911
2000-04-30,1.5513,1.5513,1.5513,1.5513
2000-05-31,1.5014,1.5014,1.5014,1.5014
2000-06-30,1.5141,1.5141,1.5141,1.5141
2000-07-31,1.4997,1.4997,1.4997,1.4997
2000-08-31,1.4473,1.4473,1.4473,1.4473
2000-09-30,1.4754,1.4754,1.4754,1.4754
2000-10-31,1.4477,1.4477,1.4477,1.4477
2000-11-30,1.4251,1.4251,1.4251,1.4251
2000-12-31,1.493,1.493,1.493,1.493
2001-01-31,1.4646,1.4646,1.4646,1.4646
2001-02-28,1.4455,1.4455,1.4455,1.4455
2001-03-31,1.4161,1.4161,1.4161,1.4161
2001-04-30,1.432,1.432,1.432,1.432
2001-05-31,1.4184,1.4184,1.4184,1.4184
2001-06-30,1.4153,1.4153,1.4153,1.4153
2001-07-31,1.4252,1.4252,1.4252,1.4252
2001-08-31,1.4539,1.4539,1.4539,1.4539
2001-09-30,1.4744,1.4744,1.4744,1.4744
2001-10-31,1.4545,1.4545,1.4545,1.4545
2001-11-30,1.4241,1.4241,1.4241,1.4241
2001-12-31,1.4546,1.4546,1.4546,1.4546
2002-01-31,1.4108,1.4108,1.4108,1.4108
2002-02-28,1.4174,1.4174,1.4174,1.4174
2002-03-31,1.4259,1.4259,1.4259,1.4259
2002-04-30,1.458,1.458,1.458,1.458
2002-05-31,1.4553,1.4553,1.4553,1.4553
2002-06-30,1.5335,1.5335,1.5335,1.5335
2002-07-31,1.5637,1.5637,1.5637,1.5637
2002-08-31,1.5505,1.5505,1.5505,1.5505
