date,dev_pct,dev_z
1996-04-30,,
1996-05-31,,
1996-06-30,,
1996-07-31,,
1996-08-31,,
1996-09-30,,
1996-10-31,,
1996-11-30,,
1996-12-31,,
1997-01-31,,
1997-02-28,,
1997-03-31,,
1997-04-30,,
1997-05-31,,
1997-06-30,,
1997-07-31,,
1997-08-31,,
1997-09-30,,
1997-10-31,,
1997-11-30,,
1997-12-31,,
1998-01-31,,
1998-02-28,,
1998-03-31,,
1998-04-30,,
1998-05-31,,
1998-06-30,,
1998-07-31,,
1998-08-31,,
1998-09-30,,
1998-10-31,,
1998-11-30,,
1998-12-31,,
1999-01-31,,
1999-02-28,,
1999-03-31,,
1999-04-30,,
1999-05-31,,
1999-06-30,,
1999-07-31,,
1999-08-31,,
1999-09-30,,
1999-10-31,,
1999-11-30,,
1999-12-31,,
2000-01-31,,
2000-02-29,,
2000-03-31,,
2000-04-30,,
2000-05-31,,
2000-06-30,,
2000-07-31,,
2000-08-31,,
2000-09-30,,
2000-10-31,,
2000-11-30,,
2000-12-31,,
2001-01-31,,
2001-02-28,,
2001-03-31,-14.18909792234977,
2001-04-30,-12.81538707629637,
2001-05-31,-13.217900762140589,
2001-06-30,-13.045664456568506,
2001-07-31,-11.01159611382797,
2001-08-31,-5.206578151606034,
2001-09-30,-4.329427685125442,
2001-10-31,-5.804074623980382,
2001-11-30,-7.378708886745777,
2001-12-31,-9.439677678437587,
2002-01-31,-10.841646698416385,
2002-02-28,-7.188562043993107,
2002-03-31,-5.554280485111995,
2002-04-30,2.265602665519295,
2002-05-31,9.686900119203301,
2002-06-30,16.001823920175994,
2002-07-31,14.11472186880436,
2002-08-31,15.44979311275101,
2002-09-30,17.66053775672949,
2002-10-31,15.707924543867492,
2002-11-30,15.506640546733387,
2002-12-31,20.135594727971707,
2003-01-31,18.49336728590427,
2003-02-28,11.471868036156163,
2003-03-31,9.89686568187016,
2003-04-30,15.043731772216141,
2003-05-31,20.556278846964137,
