date,open,high,low,close
1996-04-30,0.6873,0.6873,0.6873,0.6873
1996-05-31,0.6791,0.6791,0.6791,0.6791
1996-06-30,0.6844,0.6844,0.6844,0.6844
1996-07-31,0.6883,0.6883,0.6883,0.6883
1996-08-31,0.6901,0.6901,0.6901,0.6901
1996-09-30,0.6989,0.6989,0.6989,0.6989
1996-10-31,0.7068,0.7068,0.7068,0.7068
1996-11-30,0.7114,0.7114,0.7114,0.7114
1996-12-31,0.7068,0.7068,0.7068,0.7068
1997-01-31,0.6887,0.6887,0.6887,0.6887
1997-02-28,0.6948,0.6948,0.6948,0.6948
1997-03-31,0.695,0.695,0.695,0.695
1997-04-30,0.6932,0.6932,0.6932,0.6932
1997-05-31,0.6896,0.6896,0.6896,0.6896
1997-06-30,0.6811,0.6811,0.6811,0.6811
1997-07-31,0.6488,0.6488,0.6488,0.6488
1997-08-31,0.6391,0.6391,0.6391,0.6391
1997-09-30,0.6423,0.6423,0.6423,0.6423
1997-10-31,0.6219,0.6219,0.6219,0.6219
1997-11-30,0.617,0.617,0.617,0.617
1997-12-31,0.5814,0.5814,0.5814,0.5814
1998-01-31,0.5845,0.5845,0.5845,0.5845
1998-02-28,0.5864,0.5864,0.5864,0.5864
1998-03-31,0.5521,0.5521,0.5521,0.5521
1998-04-30,0.5533,0.5533,0.5533,0.5533
1998-05-31,0.5342,0.5342,0.5342,0.5342
1998-06-30,0.52,0.52,0.52,0.52
1998-07-31,0.5106,0.5106,0.5106,0.5106
1998-08-31,0.4951,0.4951,0.4951,0.4951
1998-09-30,0.5008,0.5008,0.5008,0.5008
1998-10-31,0.5295,0.5295,0.5295,0.5295
1998-11-30,0.5247,0.5247,0.5247,0.5247
1998-12-31,0.5294,0.5294,0.5294,0.5294
1999-01-31,0.5379,0.5379,0.5379,0.5379
1999-02-28,0.5253,0.5253,0.5253,0.5253
1999-03-31,0.5351,0.5351,0.5351,0.5351
1999-04-30,0.5583,0.5583,0.5583,0.5583
1999-05-31,0.534,0.534,0.534,0.534
1999-06-30,0.5355,0.5355,0.5355,0.5355
1999-07-31,0.5302,0.5302,0.5302,0.5302
1999-08-31,0.5182,0.5182,0.5182,0.5182
1999-09-30,0.5186,0.5186,0.5186,0.5186
1999-10-31,0.5087,0.5087,0.5087,0.5087
1999-11-30,0.5089,0.5089,0.5089,0.5089
1999-12-31,0.5213,0.5213,0.5213,0.5213
2000-01-31,0.4969,0.4969,0.4969,0.4969
2000-02-29,0.4892,0.4892,0.4892,0.4892
2000-03-31,0.4965,0.4965,0.4965,0.4965
2000-04-30,0.4853,0.4853,0.4853,0.4853
2000-05-31,0.4577,0.4577,0.4577,0.4577
2000-06-30,0.4687,0.4687,0.4687,0.4687
2000-07-31,0.4547,0.4547,0.4547,0.4547
2000-08-31,0.4267,0.4267,0.4267,0.4267
2000-09-30,0.4076,0.4076,0.4076,0.4076
2000-10-31,0.3939,0.3939,0.3939,0.3939
2000-11-30,0.4121,0.4121,0.4121,0.4121
2000-12-31,0.4437,0.4437,0.4437,0.4437
2001-01-31,0.4439,0.4439,0.4439,0.4439
2001-02-28,0.4305,0.4305,0.4305,0.4305
2001-03-31,0.4029,0.4029,0.4029,0.4029
2001-04-30,0.4138,0.4138,0.4138,0.4138
2001-05-31,0.4091,0.4091,0.4091,0.4091
2001-06-30,0.4075,0.4075,0.4075,0.4075
2001-07-31,0.4137,0.4137,0.4137,0.4137
2001-08-31,0.4397,0.4397,0.4397,0.4397
2001-09-30,0.4065,0.4065,0.4065,0.4065
2001-10-31,0.4108,0.4108,0.4108,0.4108
2001-11-30,0.417,0.417,0.417,0.417
2001-12-31,0.4165,0.4165,0.4165,0.4165
2002-01-31,0.4162,0.4162,0.4162,0.4162
2002-02-28,0.4217,0.4217,0.4217,0.4217
2002-03-31,0.4404,0.4404,0.4404,0.4404
2002-04-30,0.4473,0.4473,0.4473,0.4473
2002-05-31,0.4806,0.4806,0.4806,0.4806
2002-06-30,0.4871,0.4871,0.4871,0.4871
2002-07-31,0.4651,0.4651,0.4651,0.4651
2002-08-31,0.4691,0.4691,0.4691,0.4691
2002-09-30,0.4689,0.4689,0.4689,0.4689
2002-10-31,0.4859,0.4859,0.4859,0.4859
2002-11-30,0.4982,0.4982,0.4982,0.4982
2002-12-31,0.5245,0.5245,0.5245,0.5245
2003-01-31,0.5451,0.5451,0.5451,0.5451
2003-02-28,0.5597,0.5597,0.5597,0.5597
2003-03-31,0.555,0.555,0.555,0.555
2003-04-30,0.562,0.562,0.562,0.562
2003-05-31,0.5769,0.5769,0.5769,0.5769
2003-06-30,0.5876,0.5876,0.5876,0.5876
2003-07-31,0.5813,0.5813,0.5813,0.5813
2003-08-31,0.5783,0.5783,0.5783,0.5783
2003-09-30,0.5952,0.5952,0.5952,0.5952
2003-10-31,0.6136,0.6136,0.6136,0.6136
2003-11-30,0.6401,0.6401,0.6401,0.6401
2003-12-31,0.6556,0.6556,0.6556,0.6556
2004-01-31,0.674,0.674,0.674,0.674
2004-02-29,0.6872,0.6872,0.6872,0.6872
2004-03-31,0.6686,0.6686,0.6686,0.6686
2004-04-30,0.6254,0.6254,0.6254,0.6254
2004-05-31,0.6321,0.6321,0.6321,0.6321
2004-06-30,0.6364,0.6364,0.6364,0.6364
2004-07-31,0.6369,0.6369,0.6369,0.6369
2004-08-31,0.6554,0.6554,0.6554,0.6554
2004-09-30,0.6778,0.6778,0.6778,0.6778
2004-10-31,0.684,0.684,0.684,0.684
2004-11-30,0.7141,0.7141,0.7141,0.7141
2004-12-31,0.7182,0.7182,0.7182,0.7182
2005-01-31,0.7105,0.7105,0.7105,0.7105
2005-02-28,0.7266,0.7266,0.7266,0.7266
2005-03-31,0.7117,0.7117,0.7117,0.7117
2005-04-30,0.7316,0.7316,0.7316,0.7316
2005-05-31,0.7049,0.7049,0.7049,0.7049
2005-06-30,0.6974,0.6974,0.6974,0.6974
2005-07-31,0.6806,0.6806,0.6806,0.6806
2005-08-31,0.6964,0.6964,0.6964,0.6964
2005-09-30,0.6914,0.6914,0.6914,0.6914
2005-10-31,0.7003,0.7003,0.7003,0.7003
2005-11-30,0.7029,0.7029,0.7029,0.7029
2005-12-31,0.6837,0.6837,0.6837,0.6837
2006-01-31,0.6885,0.6885,0.6885,0.6885
2006-02-28,0.6617,0.6617,0.6617,0.6617
2006-03-31,0.6157,0.6157,0.6157,0.6157
2006-04-30,0.6386,0.6386,0.6386,0.6386
2006-05-31,0.6343,0.6343,0.6343,0.6343
2006-06-30,0.6081,0.6081,0.6081,0.6081
2006-07-31,0.6187,0.6187,0.6187,0.6187
2006-08-31,0.6563,0.6563,0.6563,0.6563
2006-09-30,0.6529,0.6529,0.6529,0.6529
2006-10-31,0.6704,0.6704,0.6704,0.6704
2006-11-30,0.6842,0.6842,0.6842,0.6842
2006-12-31,0.7039,0.7039,0.7039,0.7039
2007-01-31,0.6912,0.6912,0.6912,0.6912
2007-02-28,0.7014,0.7014,0.7014,0.7014
2007-03-31,0.7144,0.7144,0.7144,0.7144
2007-04-30,0.7405,0.7405,0.7405,0.7405
2007-05-31,0.7368,0.7368,0.7368,0.7368
2007-06-30,0.7727,0.7727,0.7727,0.7727
2007-07-31,0.7624,0.7624,0.7624,0.7624
2007-08-31,0.7017,0.7017,0.7017,0.7017
2007-09-30,0.7579,0.7579,0.7579,0.7579
2007-10-31,0.7733,0.7733,0.7733,0.7733
2007-11-30,0.7643,0.7643,0.7643,0.7643
2007-12-31,0.7659,0.7659,0.7659,0.7659
2008-01-31,0.7876,0.7876,0.7876,0.7876
2008-02-29,0.7988,0.7988,0.7988,0.7988
2008-03-31,0.7859,0.7859,0.7859,0.7859
2008-04-30,0.7821,0.7821,0.7821,0.7821
2008-05-31,0.783,0.783,0.783,0.783
2008-06-30,0.7622,0.7622,0.7622,0.7622
2008-07-31,0.7343,0.7343,0.7343,0.7343
2008-08-31,0.7005,0.7005,0.7005,0.7005
2008-09-30,0.6698,0.6698,0.6698,0.6698
2008-10-31,0.5827,0.5827,0.5827,0.5827
2008-11-30,0.549,0.549,0.549,0.549
2008-12-31,0.5793,0.5793,0.5793,0.5793
2009-01-31,0.5089,0.5089,0.5089,0.5089
2009-02-28,0.5008,0.5008,0.5008,0.5008
2009-03-31,0.5595,0.5595,0.5595,0.5595
2009-04-30,0.5652,0.5652,0.5652,0.5652
2009-05-31,0.6405,0.6405,0.6405,0.6405
2009-06-30,0.6457,0.6457,0.6457,0.6457
2009-07-31,0.6618,0.6618,0.6618,0.6618
2009-08-31,0.6851,0.6851,0.6851,0.6851
2009-09-30,0.7232,0.7232,0.7232,0.7232
2009-10-31,0.7181,0.7181,0.7181,0.7181
2009-11-30,0.716,0.716,0.716,0.716
2009-12-31,0.7228,0.7228,0.7228,0.7228
2010-01-31,0.701,0.701,0.701,0.701
2010-02-28,0.6982,0.6982,0.6982,0.6982
2010-03-31,0.7106,0.7106,0.7106,0.7106
2010-04-30,0.727,0.727,0.727,0.727
2010-05-31,0.6805,0.6805,0.6805,0.6805
2010-06-30,0.6847,0.6847,0.6847,0.6847
2010-07-31,0.726,0.726,0.726,0.726
2010-08-31,0.699,0.699,0.699,0.699
2010-09-30,0.7343,0.7343,0.7343,0.7343
2010-10-31,0.7665,0.7665,0.7665,0.7665
2010-11-30,0.7426,0.7426,0.7426,0.7426
2010-12-31,0.7802,0.7802,0.7802,0.7802
2011-01-31,0.7729,0.7729,0.7729,0.7729
2011-02-28,0.7524,0.7524,0.7524,0.7524
2011-03-31,0.7615,0.7615,0.7615,0.7615
2011-04-30,0.8099,0.8099,0.8099,0.8099
2011-05-31,0.8239,0.8239,0.8239,0.8239
2011-06-30,0.8292,0.8292,0.8292,0.8292
2011-07-31,0.8793,0.8793,0.8793,0.8793
2011-08-31,0.8541,0.8541,0.8541,0.8541
2011-09-30,0.7614,0.7614,0.7614,0.7614
2011-10-31,0.8067,0.8067,0.8067,0.8067
2011-11-30,0.7805,0.7805,0.7805,0.7805
2011-12-31,0.7772,0.7772,0.7772,0.7772
2012-01-31,0.8268,0.8268,0.8268,0.8268
2012-02-29,0.8341,0.8341,0.8341,0.8341
2012-03-31,0.8187,0.8187,0.8187,0.8187
2012-04-30,0.8185,0.8185,0.8185,0.8185
2012-05-31,0.7537,0.7537,0.7537,0.7537
2012-06-30,0.8013,0.8013,0.8013,0.8013
2012-07-31,0.8087,0.8087,0.8087,0.8087
2012-08-31,0.8034,0.8034,0.8034,0.8034
2012-09-30,0.8301,0.8301,0.8301,0.8301
2012-10-31,0.8225,0.8225,0.8225,0.8225
2012-11-30,0.8204,0.8204,0.8204,0.8204
2012-12-31,0.8288,0.8288,0.8288,0.8288
2013-01-31,0.8388,0.8388,0.8388,0.8388
2013-02-28,0.8247,0.8247,0.8247,0.8247
2013-03-31,0.8371,0.8371,0.8371,0.8371
2013-04-30,0.8563,0.8563,0.8563,0.8563
2013-05-31,0.7946,0.7946,0.7946,0.7946
2013-06-30,0.7738,0.7738,0.7738,0.7738
2013-07-31,0.7985,0.7985,0.7985,0.7985
2013-08-31,0.7727,0.7727,0.7727,0.7727
2013-09-30,0.83,0.83,0.83,0.83
2013-10-31,0.8263,0.8263,0.8263,0.8263
2013-11-30,0.8124,0.8124,0.8124,0.8124
2013-12-31,0.8214,0.8214,0.8214,0.8214
2014-01-31,0.8086,0.8086,0.8086,0.8086
2014-02-28,0.8389,0.8389,0.8389,0.8389
2014-03-31,0.8663,0.8663,0.8663,0.8663
2014-04-30,0.8617,0.8617,0.8617,0.8617
2014-05-31,0.8499,0.8499,0.8499,0.8499
2014-06-30,0.8758,0.8758,0.8758,0.8758
2014-07-31,0.85,0.85,0.85,0.85
2014-08-31,0.8362,0.8362,0.8362,0.8362
2014-09-30,0.7808,0.7808,0.7808,0.7808
2014-10-31,0.7789,0.7789,0.7789,0.7789
2014-11-30,0.7841,0.7841,0.7841,0.7841
2014-12-31,0.7797,0.7797,0.7797,0.7797
2015-01-31,0.7261,0.7261,0.7261,0.7261
2015-02-28,0.7564,0.7564,0.7564,0.7564
2015-03-31,0.747,0.747,0.747,0.747
2015-04-30,0.7617,0.7617,0.7617,0.7617
2015-05-31,0.7107,0.7107,0.7107,0.7107
2015-06-30,0.6765,0.6765,0.6765,0.6765
2015-07-31,0.6592,0.6592,0.6592,0.6592
2015-08-31,0.634,0.634,0.634,0.634
2015-09-30,0.6399,0.6399,0.6399,0.6399
2015-10-31,0.6778,0.6778,0.6778,0.6778
2015-11-30,0.6584,0.6584,0.6584,0.6584
2015-12-31,0.6831,0.6831,0.6831,0.6831
2016-01-31,0.6484,0.6484,0.6484,0.6484
2016-02-29,0.659,0.659,0.659,0.659
2016-03-31,0.6909,0.6909,0.6909,0.6909
2016-04-30,0.6977,0.6977,0.6977,0.6977
2016-05-31,0.6763,0.6763,0.6763,0.6763
2016-06-30,0.7134,0.7134,0.7134,0.7134
2016-07-31,0.7199,0.7199,0.7199,0.7199
2016-08-31,0.725,0.725,0.725,0.725
2016-09-30,0.7286,0.7286,0.7286,0.7286
2016-10-31,0.7151,0.7151,0.7151,0.7151
2016-11-30,0.7083,0.7083,0.7083,0.7083
2016-12-31,0.6934,0.6934,0.6934,0.6934
2017-01-31,0.7312,0.7312,0.7312,0.7312
2017-02-28,0.7192,0.7192,0.7192,0.7192
2017-03-31,0.7006,0.7006,0.7006,0.7006
2017-04-30,0.6866,0.6866,0.6866,0.6866
2017-05-31,0.7085,0.7085,0.7085,0.7085
2017-06-30,0.7333,0.7333,0.7333,0.7333
2017-07-31,0.7512,0.7512,0.7512,0.7512
2017-08-31,0.7178,0.7178,0.7178,0.7178
2017-09-30,0.7209,0.7209,0.7209,0.7209
2017-10-31,0.6847,0.6847,0.6847,0.6847
2017-11-30,0.6832,0.6832,0.6832,0.6832
2017-12-31,0.7098,0.7098,0.7098,0.7098
2018-01-31,0.7365,0.7365,0.7365,0.7365
2018-02-28,0.7212,0.7212,0.7212,0.7212
2018-03-31,0.7237,0.7237,0.7237,0.7237
2018-04-30,0.7035,0.7035,0.7035,0.7035
2018-05-31,0.7001,0.7001,0.7001,0.7001
2018-06-30,0.6768,0.6768,0.6768,0.6768
2018-07-31,0.6818,0.6818,0.6818,0.6818
2018-08-31,0.6622,0.6622,0.6622,0.6622
2018-09-30,0.6619,0.6619,0.6619,0.6619
2018-10-31,0.6517,0.6517,0.6517,0.6517
2018-11-30,0.6872,0.6872,0.6872,0.6872
2018-12-31,0.6719,0.6719,0.6719,0.6719
2019-01-31,0.6916,0.6916,0.6916,0.6916
2019-02-28,0.6807,0.6807,0.6807,0.6807
2019-03-31,0.6804,0.6804,0.6804,0.6804
2019-04-30,0.6675,0.6675,0.6675,0.6675
2019-05-31,0.6531,0.6531,0.6531,0.6531
2019-06-30,0.6718,0.6718,0.6718,0.6718
2019-07-31,0.6559,0.6559,0.6559,0.6559
2019-08-31,0.6328,0.6328,0.6328,0.6328
2019-09-30,0.6263,0.6263,0.6263,0.6263
2019-10-31,0.6413,0.6413,0.6413,0.6413
2019-11-30,0.6422,0.6422,0.6422,0.6422
2019-12-31,0.674,0.674,0.674,0.674
2020-01-31,0.6464,0.6464,0.6464,0.6464
2020-02-29,0.6246,0.6246,0.6246,0.6246
2020-03-31,0.5956,0.5956,0.5956,0.5956
2020-04-30,0.6127,0.6127,0.6127,0.6127
2020-05-31,0.6205,0.6205,0.6205,0.6205
2020-06-30,0.6454,0.6454,0.6454,0.6454
2020-07-31,0.6629,0.6629,0.6629,0.6629
2020-08-31,0.6733,0.6733,0.6733,0.6733
2020-09-30,0.6617,0.6617,0.6617,0.6617
2020-10-31,0.6615,0.6615,0.6615,0.6615
2020-11-30,0.7017,0.7017,0.7017,0.7017
2020-12-31,0.7184,0.7184,0.7184,0.7184
2021-01-31,0.7193,0.7193,0.7193,0.7193
2021-02-28,0.7233,0.7233,0.7233,0.7233
2021-03-31,0.6985,0.6985,0.6985,0.6985
2021-04-30,0.7162,0.7162,0.7162,0.7162
2021-05-31,0.727,0.727,0.727,0.727
2021-06-30,0.6983,0.6983,0.6983,0.6983
2021-07-31,0.6974,0.6974,0.6974,0.6974
2021-08-31,0.7045,0.7045,0.7045,0.7045
2021-09-30,0.6899,0.6899,0.6899,0.6899
2021-10-31,0.7171,0.7171,0.7171,0.7171
2021-11-30,0.6822,0.6822,0.6822,0.6822
2021-12-31,0.6826,0.6826,0.6826,0.6826
2022-01-31,0.6576,0.6576,0.6576,0.6576
2022-02-28,0.6772,0.6772,0.6772,0.6772
2022-03-31,0.6947,0.6947,0.6947,0.6947
2022-04-30,0.6458,0.6458,0.6458,0.6458
2022-05-31,0.6514,0.6514,0.6514,0.6514
2022-06-30,0.6244,0.6244,0.6244,0.6244
2022-07-31,0.6278,0.6278,0.6278,0.6278
2022-08-31,0.6119,0.6119,0.6119,0.6119
2022-09-30,0.56,0.56,0.56,0.56
2022-10-31,0.5814,0.5814,0.5814,0.5814
2022-11-30,0.6297,0.6297,0.6297,0.6297
2022-12-31,0.635,0.635,0.635,0.635
2023-01-31,0.644,0.644,0.644,0.644
2023-02-28,0.6185,0.6185,0.6185,0.6185
